,eng_version,Source,Genres
8401,Love Stage!!,Manga,"Comedy, Romance, Shounen Ai"
80,Air,Visual novel,"Slice of Life, Supernatural, Drama, Romance"
78,My-Otome,Original,"Comedy, Drama, Fantasy, Magic"
772,Strawberry Panic,Other,"Drama, Romance, School, Shoujo Ai"
7184,Maoyu ~ Archenemy & Hero,Light novel,"Adventure, Demons, Romance, Fantasy"
6071,Mayo Chiki!,Light novel,"Harem, Comedy, Romance, Ecchi, School"
9617,God Eater,Game,"Action, Fantasy, Military, Sci-Fi"
8066,Outbreak Company,Light novel,"Harem, Comedy, Parody, Fantasy"
15762,One Punch Man 2nd Season Specials,Web manga,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural"
8316,Hamatora The Animation,Original,"Mystery, Comedy, Super Power, Drama"
12346,QUANZHIFASHI,Novel,"Action, Fantasy, Magic, School"
8341,Chaika -The Coffin Princess-,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
306,Midori Days,Manga,"Comedy, Drama, Romance, Ecchi, Shounen"
4105,Canaan,Visual novel,"Action, Sci-Fi, Super Power, Supernatural, Seinen"
6956,High School DxD Specials,Light novel,"Ecchi, Comedy, Harem, Romance, Demons, School"
6343,Haganai:I don't have many friends,Light novel,"Ecchi, Slice of Life, Comedy, Harem, Romance, School"
1464,My-Otome Zwei,Original,"Action, Magic"
8039,My Mental Choices Are Completely Interfering With My School Romantic Comedy,Light novel,"Harem, Comedy, Romance, School"
7301,"Love, Chunibyo & Other Delusions!:Chuni-Shorts",Light novel,"Comedy, School"
9830,Kabaneri of the Iron Fortress,Original,"Action, Horror, Supernatural, Drama, Fantasy"
6812,Uta no Prince Sama 2,Visual novel,"Comedy, Harem, Music, Romance, School, Shoujo"
6614,Sword Art Online,Light novel,"Action, Game, Adventure, Romance, Fantasy"
3727,Corpse Princess:Aka,Manga,"Action, Horror, Supernatural, Shounen"
8022,Date A Live II,Light novel,"Comedy, Harem, Mecha, Romance, School, Sci-Fi"
14199,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
2181,Cybersix,Other,"Action, Adventure, Romance, Sci-Fi"
7240,"The ""Hentai"" Prince and the Stony Cat.",Light novel,"Harem, Comedy, Supernatural, Romance, School"
9150,Mangaka-san to Assistant-san to The Animation Specials,4-koma manga,"Comedy, Ecchi, Harem, Seinen, Slice of Life"
3805,Vampire Knight:Guilty,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
366,Suzuka,Manga,"Sports, Drama, Romance, Shounen"
4798,Deadman Wonderland,Manga,"Action, Horror, Sci-Fi, Shounen, Supernatural"
7286,Date A Live,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School"
9110,Chaika -The Coffin Princess- Avenging Battle,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
7175,Ixion Saga DT,Game,"Action, Comedy, Fantasy"
2672,Myself; Yourself,Visual novel,"Drama, Romance, School"
4620,Nyan Koi!,Manga,"Harem, Comedy, Romance"
11634,Akashic Records of Bastard Magic Instructor,Light novel,"Action, Magic, Fantasy, School"
6479,Hellsing: The Dawn,Manga,"Action, Horror, Seinen, Supernatural, Vampire"
388,My Neighbors the Yamadas,4-koma manga,"Slice of Life, Comedy"
5747,Ground Control to Psychoelectric Girl,Light novel,"Sci-Fi, Slice of Life, Comedy"
8545,The Comic Artist and His Assistants,Manga,"Harem, Slice of Life, Comedy, Ecchi, Seinen"
2896,Kimi ga Aruji de Shitsuji ga Ore de,Visual novel,"Comedy, Ecchi, Harem, Parody, Romance"
172,Please Teacher!,Original,"Sci-Fi, Comedy, Drama, Romance, School"
8986,Wolf Girl & Black Prince,Manga,"Comedy, Romance, School, Shoujo"
8331,Black Bullet,Light novel,"Action, Sci-Fi, Mystery, Seinen"
7885,Blood Lad OVA,Manga,"Action, Comedy, Demons, Seinen, Supernatural, Vampire"
9295,Trinity Seven,Manga,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen"
440,Karin,Manga,"Comedy, Romance, Vampire, School, Shounen"
9144,Lord Marksman and Vanadis,Light novel,"Adventure, Ecchi, Fantasy, Harem, Romance"
5221,High School of the Dead,Manga,"Action, Horror, Supernatural, Ecchi, Shounen"
7619,Unbreakable Machine-Doll,Light novel,"Action, Ecchi, Fantasy, School"
16464,Kuma Kuma Kuma Bear,Light novel,"Adventure, Comedy, Fantasy"
7373,Karneval,Manga,"Action, Fantasy, Josei, Mystery, Sci-Fi"
166,Love Hina,Manga,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
7848,Strike the Blood,Light novel,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy, School"
12246,Knight's & Magic,Light novel,"Action, Fantasy, Mecha, School"
3472,Sekirei,Manga,"Action, Comedy, Ecchi, Harem, Super Power"
596,Koi Kaze,Manga,"Drama, Psychological, Romance, Seinen, Slice of Life"
13758,Date A Live III,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School"
11045,Persona 5 the Animation -THE DAY BREAKERS-,Game,"Action, Supernatural, Fantasy"
5370,MM!,Light novel,"Harem, Comedy, Ecchi, School"
6197,Mashiroiro Symphony:The Color of Lovers,Visual novel,"Harem, Drama, Romance, School"
11205,Please tell me! Galko-chan,Digital manga,"Slice of Life, Comedy, School"
6158,Uta no Prince Sama,Visual novel,"Harem, Music, Comedy, Romance, School, Shoujo"
5524,OreImo,Light novel,"Slice of Life, Comedy"
11606,"Kiss Him, Not Me!",Manga,"Harem, Comedy, Romance, School, Shoujo"
7080,Haganai:A Round-Robin Story's Ending Is Way Extreme,Light novel,"Harem, Slice of Life, Comedy, Romance, School"
6623,Dog Days',Original,"Action, Adventure, Magic, Fantasy"
58,Shuffle!,Visual novel,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen"
14265,Strike the Blood III,Light novel,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy"
10463,Monster Musume:Everyday Life with Monster Girls,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, Seinen"
6616,Medaka Box,Manga,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power"
3046,To LOVE Ru,Manga,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen"
6624,Nyaruko:Crawling With Love!,Light novel,"Sci-Fi, Comedy, Parody"
9664,Tokyo Ghoul √A,Manga,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
8395,Witch Craft Works,Manga,"Action, Fantasy, Magic, Seinen, Supernatural"
15500,Princess Connect! Re:Dive,Game,"Action, Adventure, Comedy, Fantasy"
7550,Devils and Realist,Manga,"Mystery, Comedy, Historical, Demons, Supernatural, Fantasy, School, Josei"
2942,H2O:Footprints in the Sand,Visual novel,"Harem, Romance, School"
4729,Dance in the Vampire Bund,Manga,"Action, Supernatural, Vampire"
11826,Strike the Blood Second,Light novel,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy"
3927,Maria†Holic,Manga,"Comedy, Parody, School, Shoujo Ai"
7019,Oreimo 2,Light novel,"Comedy, Romance, Slice of Life"
15522,"If it's for My Daughter, I'd Even Defeat a Demon Lord",Light novel,"Fantasy, Slice of Life"
3048,Vampire Knight,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
822,Princess Princess,Manga,"Comedy, Drama, School, Shoujo"
1949,Princess Resurrection,Manga,"Action, Comedy, Supernatural, Horror, Vampire, Shounen"
566,Pretty Cure,Original,"Action, Comedy, Magic, Fantasy, Shoujo"
301,Peach Girl:Super Pop Love Hurricane,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
1507,Mai-Otome Specials,Original,"Fantasy, Magic, Comedy, Drama"
5868,Maria†Holic Alive,Manga,"Comedy, Parody, School, Shoujo Ai"
639,Mew Mew Power,Manga,"Sci-Fi, Comedy, Magic, Romance, Fantasy, Shoujo"
9924,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,Light novel,"Action, Demons, Ecchi, Fantasy, Harem, Romance"
14122,How Not to Summon a Demon Lord,Light novel,"Comedy, Ecchi, Fantasy, Harem, Magic"
1566,Devil May Cry,Game,"Action, Demons, Fantasy"
3561,Rosario + Vampire Capu2,Manga,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire"
7424,Dog Days'',Original,"Action, Adventure, Magic, Fantasy"
6089,Dog Days,Original,"Action, Adventure, Fantasy, Magic"
14616,"So I'm a Spider, So What?",Light novel,"Adventure, Comedy, Fantasy"
13078,Love is Like a Cocktail,Web manga,"Slice of Life, Comedy, Romance"
4552,Omamori Himari,Manga,"Action, Harem, Comedy, Demons, Supernatural, Romance, Ecchi, Fantasy"
10867,SERVAMP,Manga,"Action, Comedy, Supernatural, Drama, Vampire, Josei"
16465,Hero Return,Novel,"Action, Sci-Fi"
12336,Gamers!,Light novel,"Game, Comedy, Romance, School"
8752,World Break:Aria of Curse for a Holy Swordsman,Light novel,"Action, Fantasy, Harem, Romance, School, Supernatural"
10156,"Actually, I am...",Manga,"Comedy, Supernatural, Romance, Vampire, Fantasy, School, Shounen"
5743,Freezing,Manga,"Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen"
10494,The Testament of Sister New Devil:Burst,Light novel,"Action, Ecchi, Fantasy, Romance, Harem, Demons"
10584,The Asterisk War,Light novel,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural"
601,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,,"Ecchi, Romance, Shounen"
9779,RIN-NE,Manga,"Comedy, Supernatural, Romance, School, Shounen"
2201,Zombie-Loan,Manga,"Action, Horror, Shounen, Supernatural"
4896,Demon King Daimao,Light novel,"Action, Harem, Comedy, Magic, Ecchi, Fantasy, School"
10950,Myriad Colors Phantom World,Light novel,"Action, Comedy, Fantasy, Slice of Life, Supernatural"
6908,Aesthetica of a Rogue Hero,Light novel,"Action, Super Power, Ecchi, Fantasy"
5448,Aria the Scarlet Ammo,Light novel,"Action, Comedy, Romance, School"
173,Please Twins,Original,"Comedy, Drama, Harem, School, Sci-Fi"
3700,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,Original,"Romance, School, Shoujo Ai"
14228,Didn't I Say to Make My Abilities Average in the Next Life?!,Light novel,"Comedy, Fantasy"
16798,Yashahime:Princess Half-Demon,Original,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Fantasy"
16606,By the Grace of the Gods,Light novel,"Adventure, Slice of Life, Magic, Fantasy"
15751,Nande Koko ni Sensei ga!? Special,Manga,"Comedy, Ecchi, School, Seinen"
2730,Rosario + Vampire,Manga,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen"
11915,Masamune-kun's Revenge,Manga,"Comedy, Harem, Romance, School, Shounen"
5311,Samurai Girls,Light novel,"Action, Harem, Comedy, Ecchi, Samurai, School"
13916,My Sweet Tyrant,Manga,"Comedy, Josei, Romance, School"
5376,Black Lagoon Omake,Manga,Comedy
1331,Monster Rancher,Game,"Action, Adventure, Comedy, Fantasy"
7797,Freezing Vibration,Manga,"Action, Military, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen"
7817,No-Rin,Light novel,"Comedy, Parody, Romance, Ecchi, School"
88,Burst Angel,Original,"Adventure, Comedy, Mecha, Sci-Fi"
9286,Shomin Sample,Light novel,"Comedy, Ecchi, Harem, Romance, School"
8873,The Testament of Sister New Devil,Light novel,"Action, Ecchi, Fantasy, Romance, Harem, Demons"
8551,Sword Art Online II,Light novel,"Action, Game, Adventure, Romance, Fantasy"
4503,Princess Lover!,Visual novel,"Harem, Comedy, Ecchi, School"
7731,Magical Star Kanon 100%!,Manga,"Magic, Music, Shounen"
6058,A Bridge to the Starry Skies,Visual novel,"Comedy, Ecchi, Harem, Romance, School"
4294,Tayutama: Kiss on My Deity,Visual novel,"Harem, Romance, Supernatural"
11194,My Wife is the Student Council President OVA,Manga,"Comedy, Romance, Ecchi, Shounen"
3910,Samurai Harem,Manga,"Harem, Comedy, Romance, Ecchi, Martial Arts, Shounen"
15120,Ao-chan Can't Study!,Manga,"Comedy, Romance, Ecchi, Shounen"
14614,Domestic Girlfriend,Manga,"Drama, Romance, School, Shounen"
6113,Majikoi:Oh! Samurai Girls,Visual novel,"Harem, Comedy, Super Power, Romance, Ecchi, Martial Arts, School"
16080,Code Geass: Fukkatsu no Lelouch Picture Drama,Original,Comedy
3573,Koihime†Musou,Visual novel,"Action, Adventure, Historical, Ecchi, Martial Arts, Fantasy"
5620,Infinite Stratos,Light novel,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha"
16247,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,Light novel,"Adventure, Fantasy"
5419,Fortune Arterial: Akai Yakusoku,Visual novel,"Comedy, Romance, School, Supernatural, Vampire"
6781,Fate/Prototype,Original,"Action, Supernatural, Magic, Romance, Fantasy, Shounen"
7339,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,Light novel,"Action, Mecha"
7344,Hiyokoi (2012),Manga,"Romance, School, Shoujo"
2286,Good Luck! Ninomiya-kun,Light novel,"Harem, Comedy, Ecchi, Fantasy"
5076,Mayoi Neko Overrun!,Light novel,"Comedy, Harem, Romance"
5079,Kiss x Sis (TV),Manga,"Harem, Comedy, Romance, Ecchi, School, Seinen"
11298,Love Tyrant,Web manga,"Harem, Comedy, Supernatural, Romance, Ecchi, School"
5715,Dragon Crisis!,Light novel,"Action, Magic, Romance, School, Seinen, Supernatural"
2711,Night Wizard,Game,"Adventure, Fantasy, Magic, Shounen"
224,Strawberry 100%,Manga,"Comedy, Ecchi, Harem, Romance, Shounen"
457,Girls Bravo:Second Season,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen"
9877,My Wife is the Student Council President!,Manga,"Comedy, Ecchi, Romance, School, Shounen"
6280,Astarotte's Toy EX,Manga,"Comedy, Demons, Ecchi, Fantasy, Romance, Seinen"
11428,My Wife is the Student Council President!+,Manga,"Comedy, Romance, Ecchi, School, Shounen"
6501,Maken-Ki! OVA,Manga,"Action, Ecchi, Harem, Martial Arts, School, Super Power"
7053,Nagareboshi Lens,Manga,"Romance, Shoujo"
8299,Bayonetta:Bloody Fate,Game,"Action, Demons, Fantasy, Super Power"
44,DearS,Manga,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen"
4894,Shugo Chara! Party!,Manga,"Comedy, Magic, School, Shoujo"
6959,NAKAIMO - My Little Sister Is Among Them!,Light novel,"Comedy, Ecchi, Harem, Mystery, Romance, School"
333,Bludgeoning Angel Dokuro-chan,Light novel,"Comedy, Magic, Ecchi"
6155,Battle Girls:Time Paradox,Game,"Action, Comedy, Historical, Samurai, Sci-Fi, Super Power"
5879,Astarotte's Toy,Manga,"Comedy, Demons, Ecchi, Fantasy, Romance, Seinen"
7755,Dog & Scissors,Light novel,"Comedy, Supernatural"
7843,Infinite Stratos 2,Light novel,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha"
11789,The Highschool Life of a Fudanshi,4-koma manga,"Slice of Life, Comedy, School, Shoujo"
15959,Arifureta:From Commonplace to World's Strongest,Light novel,"Action, Adventure, Fantasy, Harem"
12453,Death March to the Parallel World Rhapsody,Light novel,"Adventure, Fantasy, Harem"
13622,Wise Man's Grandchild,Light novel,"Action, Comedy, Magic, Romance, Fantasy"
16371,Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,Light novel,"Comedy, Romance, School"
13926,Arifureta:From Commonplace to World's Strongest,Light novel,"Action, Adventure, Fantasy, Harem"
8381,Dragonar Academy,Light novel,"Comedy, Ecchi, Fantasy, School"
9328,Absolute Duo,Light novel,"Action, Harem, Supernatural, Romance, Ecchi, School"
14822,"Demon Lord, Retry!",Light novel,"Action, Adventure, Fantasy"
12390,Citrus,Manga,"Drama, Romance, School, Shoujo Ai"
9184,Gonna be the Twin-Tail!!,Light novel,"Action, Comedy, Romance, Fantasy, School, Shounen"
11608,Eromanga Sensei,Light novel,"Comedy, Drama, Romance, Ecchi"
16797,The Hidden Dungeon Only I Can Enter,Light novel,"Action, Adventure, Harem, Ecchi, Fantasy"
13368,Persona 5 The Animation,Game,"Action, Fantasy, Supernatural"
3804,Akane Iro ni Somaru Saka,Visual novel,"Harem, Comedy, Romance, Ecchi, School"
14885,Nande Koko ni Sensei ga!?,Manga,"Comedy, Ecchi, School, Seinen"
3083,Kanokon:The Girl Who Cried Fox,Light novel,"Comedy, Ecchi, Harem, Romance, School, Shounen, Slice of Life, Supernatural"
4616,The Qwaser of Stigmata,Manga,"Action, Super Power, Supernatural, Ecchi, Seinen"
4506,Kämpfer,Light novel,"Action, Comedy, Ecchi, Romance, School, Shoujo Ai, Super Power"
217,Girls Bravo,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen"
5984,Maken-Ki!,Manga,"Action, Ecchi, Harem, Martial Arts, School, Super Power"
9309,Sky Wizards Academy,Light novel,"Action, Drama, Fantasy, Magic, School"
1462,Venus Versus Virus,Manga,"Drama, Romance, Supernatural"
15654,CHOYOYU!:High School Prodigies Have It Easy Even in Another World!,Light novel,Fantasy
16443,Bungo and Alchemist -Gears of Judgement-,Game,"Action, Adventure, Fantasy"
12400,My First Girlfriend is a Gal,Manga,"Comedy, Ecchi, Romance, School, Shounen"
13228,My Girlfriend is Shobitch,Web manga,"Harem, Comedy, Romance, Ecchi, School"
5550,Yosuga no Sora,Visual novel,"Drama, Ecchi, Harem, Romance"
9225,Juuou Mujin no Fafnir,Light novel,"Fantasy, Harem, Romance, School"
9892,Aria the Scarlet Ammo AA,Manga,"Action, School, Shoujo Ai"
4821,Blade,Other,"Action, Drama, Horror, Vampire"
313,Psychic Academy,Manga,"Comedy, Romance, Supernatural"
12904,In Another World With My Smartphone,Light novel,"Adventure, Harem, Comedy, Magic, Romance, Fantasy"
4679,Chu-Bra,Manga,"Ecchi, Comedy, School, Seinen"
16344,Redo of Healer,Light novel,"Ecchi, Fantasy"
112,Green Green,Visual novel,"Comedy, Ecchi, Romance, School, Slice of Life"
9069,Maken-Ki! Two Specials,Manga,Ecchi
7283,Maken-Ki! Two,Manga,"Action, Harem, Super Power, Ecchi, Martial Arts, School"
15161,The 8th son? Are you kidding me?,Light novel,"Action, Fantasy"
11138,Hybrid x Heart Magias Academy Ataraxia,Light novel,"Action, Sci-Fi, Harem, Comedy, Romance, Ecchi, Fantasy, School"
3970,Akikan!,Light novel,"Comedy, Ecchi, Fantasy, Romance"
12934,18if,Game,"Mystery, Supernatural"
5835,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,Manga,"Harem, Comedy, Romance, Ecchi"
15217,Infinite Dendrogram,Light novel,"Game, Fantasy"
7288,Brothers Conflict,Novel,"Harem, Romance, Shoujo"
6596,Dragon Age:Dawn of the Seeker,Game,"Action, Fantasy"
8708,Blade & Soul,Game,"Action, Adventure, Fantasy, Martial Arts"
8140,Magical Warfare,Light novel,"Action, Fantasy, Magic"
551,Itsudatte My Santa!,Manga,"Ecchi, Fantasy, Romance, Comedy, Shounen"
14995,Assassins Pride,Light novel,Fantasy
16359,"Shachibato! President, It's Time for Battle!",Game,"Action, Adventure, Fantasy"
16876,Katarina to Manabou,Light novel,Comedy
8529,Sugar*Soldier,Manga,Shoujo
16343,"Maou-sama, ""Petit"" Retry!",Light novel,Comedy
14262,The Master of Ragnarok & Blesser of Einherjar,Light novel,"Fantasy, Harem"
2271,School Days,Visual novel,"Harem, Drama, Romance, School"
10341,Chaos Dragon,Game,"Action, Fantasy, Supernatural"
11423,Cerberus,Game,"Adventure, Fantasy"
14884,Armor Shop for Ladies & Gentlemen,4-koma manga,"Comedy, Ecchi, Fantasy"
14996,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Light novel,"Adventure, Comedy, Fantasy"
16157,Peter Grill and the Philosopher's Time,Manga,"Harem, Comedy, Ecchi, Fantasy"
10948,Wagamama High Spec,Visual novel,"Comedy, School"
14465,Isekai Cheat Magician,Light novel,"Action, Adventure, Fantasy"
7680,Diabolik Lovers,Visual novel,"Harem, School, Shoujo, Vampire"
15149,Nobunaga teacher's young bride,Manga,"Comedy, Ecchi, Harem, Romance, School"
16108,The Rising of the Shield Hero Season 2,Light novel,"Action, Adventure, Drama, Fantasy"
16109,The Rising of the Shield Hero,Light novel,"Action, Adventure, Drama, Fantasy"
16201,Arifureta Shokugyou de Sekai Saikyou 2nd Season,Light novel,"Action, Adventure, Harem, Fantasy"
16242,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Light novel,"Comedy, Fantasy"
16457,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Light novel,"Comedy, Fantasy"
16472,Ane Naru Mono,Manga,"Horror, Supernatural, Romance, Ecchi"
16635,Mairimashita! Iruma-kun 2nd Season,Manga,"Comedy, Demons, Supernatural, Fantasy, School, Shounen"
16664,Date A Live IV,Light novel,"Harem, Comedy, Romance, School"
16676,Tensei shitara Slime Datta Ken 2nd Season Part 2,Light novel,"Comedy, Fantasy"
16677,Tensura Nikki: Tensei shitara Slime Datta Ken,Manga,"Slice of Life, Comedy, Fantasy, Shounen"
16713,Isekai Quartet 3,Original,"Comedy, Parody, Fantasy"
16727,How Not to Summon a Demon Lord Ω,Light novel,"Harem, Comedy, Magic, Ecchi, Fantasy"
16752,Re:Construction the Elfrieden Kingdom Tales of Realistic Brave,Light novel,"Action, Military, Harem, Magic, Romance, Fantasy"
16783,Megami-ryou no Ryoubo-kun.,Manga,"Harem, Comedy, Romance, Ecchi, Shounen"
16835,She professed herself the pupil of the wise man.,Light novel,"Adventure, Fantasy"
16918,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,Light novel,"Comedy, Drama, Romance, Fantasy, School"
16971,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Light novel,"Slice of Life, Fantasy"
17067,Princess Connect! Re:Dive Season 2,Game,"Action, Adventure, Comedy, Fantasy"
17128,The Saint's Magic Power is Omnipotent,Light novel,"Romance, Fantasy"
17285,The Way of the Househusband,Manga,"Slice of Life, Comedy, Romance"
17423,Kuma Kuma Kuma Bear 2nd Season,Light novel,"Adventure, Comedy, Fantasy"
